subregion,covid_region
adair,e
adams,f
allamakee,c
appanoose,e
audubon,f
benton,c
black hawk,c
boone,e
bremer,c
buchanan,c
buena vista,a
butler,b
calhoun,a
carroll,e
cass,f
cedar,d
cerro gordo,b
cherokee,a
chickasaw,b
clarke,e
clay,a
clayton,c
clinton,d
crawford,f
dallas,e
davis,e
decatur,e
delaware,c
des moines,d
dickinson,a
dubuque,c
emmet,a
fayette,c
floyd,b
franklin,b
fremont,f
greene,e
grundy,c
guthrie,e
hamilton,a
hancock,b
hardin,b
harrison,f
henry,d
howard,c
humboldt,a
ida,a
iowa,d
jackson,d
jasper,e
jefferson,d
johnson,d
jones,c
keokuk,d
kossuth,b
lee,d
linn,c
louisa,d
lucas,e
lyon,a
madison,e
mahaska,e
marion,e
marshall,e
mills,f
mitchell,b
monona,a
monroe,e
montgomery,f
muscatine,d
obrien,a
osceola,a
page,f
palo alto,a
plymouth,a
pocahontas,a
polk,e
pottawattamie,f
poweshiek,e
ringgold,e
sac,a
scott,d
shelby,f
sioux,a
story,e
tama,e
taylor,f
union,e
van buren,d
wapello,d
warren,e
washington,d
wayne,e
webster,a
winnebago,b
winneshiek,c
woodbury,a
worth,b
wright,b
